Time(s),Total cars injected, Total cars arrived,Current cars in system, Exiting people,Total Sumo cars injected,Total Sumo cars arrived
4855,948,905,43,2314,0,0
4856,949,905,44,2314,0,0
4857,949,905,44,2314,0,0
4858,949,905,44,2314,0,0
4859,949,905,44,2314,0,0
4860,949,905,44,2314,0,0
4861,949,905,44,2314,0,0
4862,949,905,44,2314,0,0
4863,949,905,44,2314,0,0
4864,949,905,44,2314,0,0
4865,949,905,44,2314,0,0
4866,949,905,44,2314,0,0
4867,949,905,44,2314,0,0
4868,949,905,44,2314,0,0
4869,949,905,44,2314,0,0
4870,949,905,44,2314,0,0
4871,949,905,44,2314,0,0
4872,949,905,44,2314,0,0
4873,949,905,44,2314,0,0
4874,949,905,44,2314,0,0
4875,949,905,44,2314,0,0
4876,949,906,43,2315,0,0
4877,949,907,42,2317,0,0
4878,949,907,42,2317,0,0
4879,949,907,42,2317,0,0
4880,949,907,42,2317,0,0
4881,949,908,41,2321,0,0
4882,949,908,41,2321,0,0
4883,949,908,41,2321,0,0
4884,949,908,41,2321,0,0
4885,949,908,41,2321,0,0
4886,949,908,41,2321,0,0
4887,949,909,40,2325,0,0
4888,949,909,40,2325,0,0
4889,949,909,40,2325,0,0
4890,949,909,40,2325,0,0
4891,949,909,40,2325,0,0
4892,949,909,40,2325,0,0
4893,949,909,40,2325,0,0
4894,949,909,40,2325,0,0
4895,949,909,40,2325,0,0
4896,949,909,40,2325,0,0
4897,949,909,40,2325,0,0
4898,949,909,40,2325,0,0
4899,949,909,40,2325,0,0
4900,949,909,40,2325,0,0
4901,949,909,40,2325,0,0
4902,949,909,40,2325,0,0
4903,949,909,40,2325,0,0
4904,949,909,40,2325,0,0
4905,949,909,40,2325,0,0
4906,949,909,40,2325,0,0
4907,949,909,40,2325,0,0
4908,949,909,40,2325,0,0
4909,949,909,40,2325,0,0
4910,949,909,40,2325,0,0
4911,949,909,40,2325,0,0
4912,949,909,40,2325,0,0
4913,949,910,39,2327,0,0
4914,949,911,38,2328,0,0
4915,949,911,38,2328,0,0
4916,949,911,38,2328,0,0
4917,949,911,38,2328,0,0
4918,949,912,37,2329,0,0
4919,949,912,37,2329,0,0
4920,949,912,37,2329,0,0
4921,949,912,37,2329,0,0
4922,949,912,37,2329,0,0
4923,949,912,37,2329,0,0
4924,949,912,37,2329,0,0
4925,949,912,37,2329,0,0
4926,949,912,37,2329,0,0
4927,949,912,37,2329,0,0
4928,949,912,37,2329,0,0
4929,949,912,37,2329,0,0
4930,949,912,37,2329,0,0
4931,949,912,37,2329,0,0
4932,949,912,37,2329,0,0
4933,949,912,37,2329,0,0
4934,950,912,38,2329,0,0
4935,950,912,38,2329,0,0
4936,950,912,38,2329,0,0
4937,950,912,38,2329,0,0
4938,950,912,38,2329,0,0
4939,950,912,38,2329,0,0
4940,950,912,38,2329,0,0
4941,950,912,38,2329,0,0
4942,950,912,38,2329,0,0
4943,950,912,38,2329,0,0
4944,950,912,38,2329,0,0
4945,950,912,38,2329,0,0
4946,950,913,37,2331,0,0
4947,950,913,37,2331,0,0
4948,950,913,37,2331,0,0
4949,950,913,37,2331,0,0
4950,950,913,37,2331,0,0
4951,950,913,37,2331,0,0
4952,950,913,37,2331,0,0
4953,950,913,37,2331,0,0
4954,950,913,37,2331,0,0
4955,950,913,37,2331,0,0
4956,950,914,36,2334,0,0
4957,950,914,36,2334,0,0
4958,950,914,36,2334,0,0
4959,950,914,36,2334,0,0
4960,950,914,36,2334,0,0
4961,950,914,36,2334,0,0
4962,950,914,36,2334,0,0
4963,950,914,36,2334,0,0
4964,950,914,36,2334,0,0
4965,950,914,36,2334,0,0
4966,950,914,36,2334,0,0
4967,950,914,36,2334,0,0
4968,950,914,36,2334,0,0
4969,950,914,36,2334,0,0
4970,950,914,36,2334,0,0
4971,950,914,36,2334,0,0
4972,950,914,36,2334,0,0
4973,950,914,36,2334,0,0
4974,950,914,36,2334,0,0
4975,950,914,36,2334,0,0
