Time(s),Households left,People left,Total households responded, Total people responded,Total households reached car,Total people reached car,Total cars activated,Avg. walking dist.
2426,146,373,855,2179,854,2178,854,49.08824
2427,146,373,855,2179,854,2178,854,49.08824
2428,146,373,855,2179,854,2178,854,49.08824
2429,146,373,855,2179,854,2178,854,49.08824
2430,146,373,855,2179,854,2178,854,49.08824
2431,146,373,855,2179,854,2178,854,49.08824
2432,146,373,855,2179,854,2178,854,49.08824
2433,146,373,855,2179,854,2178,854,49.08824
2434,146,373,855,2179,854,2178,854,49.08824
2435,146,373,855,2179,854,2178,854,49.08824
2436,146,373,855,2179,854,2178,854,49.08824
2437,146,373,855,2179,854,2178,854,49.08824
2438,146,373,855,2179,854,2178,854,49.08824
2439,146,373,855,2179,854,2178,854,49.08824
2440,145,372,855,2179,855,2179,855,49.08824
2441,145,372,855,2179,855,2179,855,49.13293
2442,145,372,855,2179,855,2179,855,49.13293
2443,145,372,855,2179,855,2179,855,49.13293
2444,145,372,855,2179,855,2179,855,49.13293
2445,145,372,855,2179,855,2179,855,49.13293
2446,145,372,855,2179,855,2179,855,49.13293
2447,145,372,855,2179,855,2179,855,49.13293
2448,145,372,855,2179,855,2179,855,49.13293
2449,145,372,855,2179,855,2179,855,49.13293
2450,145,372,855,2179,855,2179,855,49.13293
2451,145,372,855,2179,855,2179,855,49.13293
2452,145,372,855,2179,855,2179,855,49.13293
2453,145,372,855,2179,855,2179,855,49.13293
2454,145,372,855,2179,855,2179,855,49.13293
2455,145,372,855,2179,855,2179,855,49.13293
2456,145,372,855,2179,855,2179,855,49.13293
2457,145,372,855,2179,855,2179,855,49.13293
2458,145,372,855,2179,855,2179,855,49.13293
2459,145,372,855,2179,855,2179,855,49.13293
2460,145,372,855,2179,855,2179,855,49.13293
2461,145,372,855,2179,855,2179,855,49.13293
2462,145,372,855,2179,855,2179,855,49.13293
2463,145,372,855,2179,855,2179,855,49.13293
2464,145,372,855,2179,855,2179,855,49.13293
2465,145,372,855,2179,855,2179,855,49.13293
2466,145,372,855,2179,855,2179,855,49.13293
2467,145,372,855,2179,855,2179,855,49.13293
2468,145,372,856,2182,855,2179,855,49.13293
2469,145,372,856,2182,855,2179,855,49.13293
2470,145,372,856,2182,855,2179,855,49.13293
2471,145,372,856,2182,855,2179,855,49.13293
2472,145,372,856,2182,855,2179,855,49.13293
2473,145,372,856,2182,855,2179,855,49.13293
2474,145,372,856,2182,855,2179,855,49.13293
2475,145,372,856,2182,855,2179,855,49.13293
2476,145,372,856,2182,855,2179,855,49.13293
2477,145,372,856,2182,855,2179,855,49.13293
2478,145,372,856,2182,855,2179,855,49.13293
2479,145,372,856,2182,855,2179,855,49.13293
2480,145,372,856,2182,855,2179,855,49.13293
2481,145,372,856,2182,855,2179,855,49.13293
2482,145,372,856,2182,855,2179,855,49.13293
2483,145,372,856,2182,855,2179,855,49.13293
2484,145,372,856,2182,855,2179,855,49.13293
2485,145,372,856,2182,855,2179,855,49.13293
2486,145,372,856,2182,855,2179,855,49.13293
2487,145,372,856,2182,855,2179,855,49.13293
2488,145,372,856,2182,855,2179,855,49.13293
2489,145,372,856,2182,855,2179,855,49.13293
2490,145,372,856,2182,855,2179,855,49.13293
2491,145,372,856,2182,855,2179,855,49.13293
2492,145,372,856,2182,855,2179,855,49.13293
2493,145,372,856,2182,855,2179,855,49.13293
2494,145,372,856,2182,855,2179,855,49.13293
2495,145,372,856,2182,855,2179,855,49.13293
2496,145,372,856,2182,855,2179,855,49.13293
2497,145,372,856,2182,855,2179,855,49.13293
2498,145,372,856,2182,855,2179,855,49.13293
2499,145,372,856,2182,855,2179,855,49.13293
2500,145,372,856,2182,855,2179,855,49.13293
2501,145,372,856,2182,855,2179,855,49.13293
2502,145,372,856,2182,855,2179,855,49.13293
2503,145,372,857,2184,855,2179,855,49.13293
2504,145,372,857,2184,855,2179,855,49.13293
2505,145,372,857,2184,855,2179,855,49.13293
2506,145,372,857,2184,855,2179,855,49.13293
2507,145,372,857,2184,855,2179,855,49.13293
2508,145,372,857,2184,855,2179,855,49.13293
2509,145,372,857,2184,855,2179,855,49.13293
2510,145,372,858,2188,855,2179,855,49.13293
2511,145,372,858,2188,855,2179,855,49.13293
2512,145,372,858,2188,855,2179,855,49.13293
2513,145,372,858,2188,855,2179,855,49.13293
2514,145,372,858,2188,855,2179,855,49.13293
2515,145,372,858,2188,855,2179,855,49.13293
2516,145,372,858,2188,855,2179,855,49.13293
2517,145,372,858,2188,855,2179,855,49.13293
2518,145,372,858,2188,855,2179,855,49.13293
2519,145,372,858,2188,855,2179,855,49.13293
2520,145,372,858,2188,855,2179,855,49.13293
2521,145,372,858,2188,855,2179,855,49.13293
2522,145,372,858,2188,855,2179,855,49.13293
2523,145,372,858,2188,855,2179,855,49.13293
2524,145,372,858,2188,855,2179,855,49.13293
2525,145,372,858,2188,855,2179,855,49.13293
2526,145,372,858,2188,855,2179,855,49.13293
2527,145,372,858,2188,855,2179,855,49.13293
2528,145,372,858,2188,855,2179,855,49.13293
2529,145,372,858,2188,855,2179,855,49.13293
2530,145,372,858,2188,855,2179,855,49.13293
2531,145,372,858,2188,855,2179,855,49.13293
2532,144,369,858,2188,856,2182,856,49.13293
2533,144,369,858,2188,856,2182,856,49.136
2534,144,369,858,2188,856,2182,856,49.136
2535,143,365,858,2188,857,2186,857,49.136
2536,143,365,858,2188,857,2186,857,49.10678
2537,143,365,858,2188,857,2186,857,49.10678
2538,143,365,858,2188,857,2186,857,49.10678
2539,143,365,858,2188,857,2186,857,49.10678
2540,142,363,858,2188,858,2188,858,49.10678
2541,142,363,858,2188,858,2188,858,49.08092
2542,142,363,858,2188,858,2188,858,49.08092
2543,142,363,858,2188,858,2188,858,49.08092
2544,142,363,858,2188,858,2188,858,49.08092
2545,142,363,858,2188,858,2188,858,49.08092
2546,142,363,858,2188,858,2188,858,49.08092
2547,142,363,858,2188,858,2188,858,49.08092
2548,142,363,858,2188,858,2188,858,49.08092
2549,142,363,858,2188,858,2188,858,49.08092
2550,142,363,858,2188,858,2188,858,49.08092
2551,142,363,858,2188,858,2188,858,49.08092
2552,142,363,858,2188,858,2188,858,49.08092
2553,142,363,858,2188,858,2188,858,49.08092
2554,142,363,858,2188,858,2188,858,49.08092
2555,142,363,858,2188,858,2188,858,49.08092
2556,142,363,858,2188,858,2188,858,49.08092
2557,142,363,858,2188,858,2188,858,49.08092
2558,142,363,859,2191,858,2188,858,49.08092
2559,142,363,859,2191,858,2188,858,49.08092
2560,142,363,859,2191,858,2188,858,49.08092
2561,142,363,859,2191,858,2188,858,49.08092
2562,142,363,859,2191,858,2188,858,49.08092
2563,142,363,859,2191,858,2188,858,49.08092
2564,142,363,859,2191,858,2188,858,49.08092
2565,142,363,859,2191,858,2188,858,49.08092
2566,142,363,859,2191,858,2188,858,49.08092
2567,142,363,859,2191,858,2188,858,49.08092
2568,142,363,859,2191,858,2188,858,49.08092
2569,142,363,859,2191,858,2188,858,49.08092
2570,142,363,859,2191,858,2188,858,49.08092
2571,142,363,859,2191,858,2188,858,49.08092
2572,142,363,859,2191,858,2188,858,49.08092
2573,142,363,859,2191,858,2188,858,49.08092
2574,142,363,859,2191,858,2188,858,49.08092
2575,142,363,859,2191,858,2188,858,49.08092
2576,142,363,859,2191,858,2188,858,49.08092
2577,142,363,859,2191,858,2188,858,49.08092
2578,142,363,859,2191,858,2188,858,49.08092
2579,142,363,859,2191,858,2188,858,49.08092
2580,142,363,859,2191,858,2188,858,49.08092
2581,142,363,859,2191,858,2188,858,49.08092
2582,142,363,859,2191,858,2188,858,49.08092
2583,142,363,859,2191,858,2188,858,49.08092
2584,142,363,859,2191,858,2188,858,49.08092
2585,142,363,859,2191,858,2188,858,49.08092
2586,142,363,859,2191,858,2188,858,49.08092
2587,142,363,859,2191,858,2188,858,49.08092
2588,142,363,859,2191,858,2188,858,49.08092
2589,142,363,860,2192,858,2188,858,49.08092
2590,142,363,860,2192,858,2188,858,49.08092
2591,142,363,860,2192,858,2188,858,49.08092
2592,142,363,860,2192,858,2188,858,49.08092
2593,142,363,860,2192,858,2188,858,49.08092
2594,142,363,860,2192,858,2188,858,49.08092
2595,142,363,860,2192,858,2188,858,49.08092
2596,142,363,860,2192,858,2188,858,49.08092
2597,142,363,860,2192,858,2188,858,49.08092
2598,142,363,860,2192,858,2188,858,49.08092
2599,142,363,860,2192,858,2188,858,49.08092
2600,142,363,860,2192,858,2188,858,49.08092
2601,142,363,860,2192,858,2188,858,49.08092
2602,142,363,860,2192,858,2188,858,49.08092
